SYSTEM,STANDARD_IDENTIFIER,STANDARD_DISPLAY,RANK
LOINC,5158-1,Epstein Barr virus capsid IgG Ab [Titer] in Serum by Immunofluorescence,5255
LOINC,31372-6,Epstein Barr virus nuclear Ab [Units/volume] in Serum,7042
LOINC,46345-5,XR Elbow - right GE 3 Views,-1
LOINC,48643-1,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",48
LOINC,19074-4,Carnitine esters [Moles/volume] in Serum or Plasma,2955
LOINC,40869-0,Carnitine esters/Carnitine.free (C0) [Molar ratio] in Serum or Plasma,2412
SNOMED CT,409084000,Estimated blood loss (observable entity),-1
LOINC,35592-5,"Creatinine renal clearance/1.73 sq M.predicted by Cockcroft-Gault formula, BSA formula",14405
LOINC,8301-4,Body height Estimated,12391
LOINC,48850-2,Ehrlichia chaffeensis IgM Ab [Titer] in Serum by Immunofluorescence,5350
LOINC,47982-4,Epstein Barr virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection,5275
LOINC,11524-6,EKG study,-1
LOINC,12209-3,Eosinophils/100 leukocytes in Body fluid by Manual count,1644
LOINC,9652-9,N-desalkylflurazepam [Mass/volume] in Serum or Plasma,11523
LOINC,6774-4,Desethylamiodarone [Mass/volume] in Serum or Plasma,4744
LOINC,59258-4,Emergency department Discharge summary,-1
SNOMED CT,311401005,Patient education (procedure),-1
LOINC,11778-8,Delivery date Estimated,1168
LOINC,11523-8,EEG study,-1
SNOMED CT,18648009,Sleep electroencephalogram (procedure),-1
LOINC,18751-8,Endoscopy study,-1
LOINC,24676-9,XR Elbow Views,-1
LOINC,37188-0,RF Elbow - left Arthrogram,-1
LOINC,24945-8,XR Cervical spine Views W flexion and W extension,7887
LOINC,36554-4,XR Chest Single view,-1
LOINC,36643-5,XR Chest 2 Views,-1
LOINC,30745-4,XR Chest Views,-1
LOINC,36647-6,XR Coccyx 2 Views,-1
LOINC,24695-9,XR Facial bones Views,11420
LOINC,3531-1,Desipramine [Mass/volume] in Serum or Plasma,6545
LOINC,3536-0,Norclomipramine [Mass/volume] in Serum or Plasma,6025
LOINC,83012-5,DXA Skeletal system.axial Views for bone density,-1
LOINC,14062-4,Dexamethasone [Mass/volume] in Serum or Plasma,3466
LOINC,45149-2,Ej Ab [Presence] in Serum,3173
SNOMED CT,102594003,Electrocardiogram abnormal (finding),-1
LOINC,80427-8,Employer name [Identifier],8344
LOINC,80429-4,Employer address,-1
LOINC,96676-2,Employer phone number,-1
SNOMED CT,699113009,Expiratory positive airway pressure (observable entity),-1
SNOMED CT,450320001,Edinburgh postnatal depression scale score (observable entity),-1
LOINC,37947-9,RF Elbow - right Arthrogram,-1
LOINC,26402-8,XR Hip - right Single view,-1
LOINC,36654-2,XR Femur - left 2 Views,-1
LOINC,26128-9,XR Foot - left Views,8144
LOINC,26389-7,XR Hand - left 2 Views,8741
LOINC,47370-2,XR Hand - left GE 3 Views,-1
LOINC,8462-4,Diastolic blood pressure,2
LOINC,3548-5,diazePAM [Mass/volume] in Serum or Plasma,7537
LOINC,39354-6,Cholinesterase in Serum or Plasma --dibucaine/Cholinesterase,9001
LOINC,37186-4,RF Elbow Arthrogram,-1
LOINC,26401-0,XR Hip - left Single view,-1
LOINC,26392-1,XR Humerus - left 2 Views,8808
LOINC,26155-2,XR Scapula - left Views,-1
LOINC,36569-2,XR Shoulder - left Single view,-1
LOINC,26158-6,XR Shoulder - left Views,6542
LOINC,26170-1,XR Wrist - left Views,-1
LOINC,36670-8,XR Lumbar spine 2 Views,-1
LOINC,2075-0,Chloride [Moles/volume] in Serum or Plasma,8
LOINC,2070-1,Chloride [Moles/volume] in Cerebral spinal fluid,7596
LOINC,2072-7,Chloride [Moles/volume] in Body fluid,5095
LOINC,15158-9,Chloride [Moles/volume] in Stool,5773
LOINC,3433-0,carBAMazepine free [Mass/volume] in Serum or Plasma,4016
LOINC,3432-2,carBAMazepine [Mass/volume] in Serum or Plasma,1093
LOINC,2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",11
LOINC,20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood,663
LOINC,20565-8,"Carbon dioxide, total [Moles/volume] in Blood",260
LOINC,19055-3,Carboxy tetrahydrocannabinol/Creatinine [Mass Ratio] in Urine,2483
LOINC,6075-6,Cladosporium herbarum IgE Ab [Units/volume] in Serum,1556
LOINC,15861-8,Deprecated Mouse urine proteins IgE Ab RAST class [Presence] in Serum,-1
LOINC,16064-8,Deprecated Trout IgE Ab RAST class [Presence] in Serum,-1
LOINC,16065-5,Deprecated Tuna IgE Ab RAST class [Presence] in Serum,-1
LOINC,16074-7,Deprecated Walnut IgE Ab RAST class [Presence] in Serum,-1
LOINC,15529-1,Deprecated Lactalbumin alpha IgE Ab RAST class [Presence] in Serum,-1
LOINC,15555-6,Deprecated Barley IgE Ab RAST class [Presence] in Serum,-1
LOINC,15606-7,Deprecated Casein IgE Ab RAST class [Presence] in Serum,-1
LOINC,18745-0,Cardiac catheterization study,-1
LOINC,75919-1,Left ventricular Cardiac index,4569
SNOMED CT,82799009,Cardiac output (observable entity),-1
LOINC,67519-9,Cardiac rhythm NEMSIS,-1
LOINC,30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,473
LOINC,86951-1,Lipoprotein associated phospholipase A2 [Enzymatic activity/volume] in Serum or Plasma,7948
LOINC,43467-0,XR Chest 2 Views and Right oblique and Left oblique,-1
LOINC,15609-1,Deprecated Cat dander IgE Ab RAST class [Presence] in Serum,-1
LOINC,15746-1,Deprecated Cocksfoot IgE Ab RAST class [Presence] in Serum,-1
LOINC,15549-9,Deprecated Aspergillus fumigatus IgE Ab RAST class [Presence] in Serum,-1
LOINC,15554-9,Deprecated Banana IgE Ab RAST class [Presence] in Serum,-1
LOINC,15572-1,Deprecated Beef IgE Ab RAST class [Presence] in Serum,-1
LOINC,15577-0,Deprecated Beta lactoglobulin IgE Ab RAST class [Presence] in Serum,-1
LOINC,15869-1,Deprecated Blue mussel IgE Ab RAST class [Presence] in Serum,-1
LOINC,15596-0,Deprecated Cabbage IgE Ab RAST class [Presence] in Serum,-1
LOINC,15605-9,Deprecated Carrot IgE Ab RAST class [Presence] in Serum,-1
LOINC,24640-5,XR Chest Apical lordotic,16251
LOINC,10835-7,Lipoprotein a [Mass/volume] in Serum or Plasma,2063
LOINC,3182-3,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,949
LOINC,5076-5,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay,1751
LOINC,3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,1034
LOINC,6259-6,Chestnut IgE Ab [Units/volume] in Serum,2553
LOINC,8661-1,Chief complaint - Reported,43
LOINC,56129-0,Chikungunya virus IgG Ab [Presence] in Serum or Plasma by Immunofluorescence,11829
LOINC,56131-6,Chikungunya virus IgM Ab [Presence] in Serum or Plasma by Immunofluorescence,11839
LOINC,7591-1,Chili Pepper IgE Ab [Units/volume] in Serum,5875
LOINC,560-3,Chlamydia sp identified in Specimen by Organism specific culture,7487
LOINC,15607-5,Deprecated Cashew nut IgE Ab RAST class [Presence] in Serum,-1
LOINC,15628-1,Deprecated Cherry IgE Ab RAST class [Presence] in Serum,-1
LOINC,15629-9,Deprecated Chestnut IgE Ab RAST class [Presence] in Serum,-1
LOINC,15633-1,Deprecated Chicken feather IgE Ab RAST class [Presence] in Serum,-1
LOINC,15634-9,Deprecated Chicken meat IgE Ab RAST class [Presence] in Serum,-1
LOINC,15597-8,Deprecated Cocoa IgE Ab RAST class [Presence] in Serum,-1
LOINC,15643-0,Deprecated Clam IgE Ab RAST class [Presence] in Serum,-1
LOINC,15649-7,Deprecated Coconut IgE Ab RAST class [Presence] in Serum,-1
LOINC,15650-5,Deprecated Codfish IgE Ab RAST class [Presence] in Serum,-1
LOINC,15651-3,Deprecated Coffee IgE Ab RAST class [Presence] in Serum,-1
LOINC,15653-9,Deprecated Corn IgE Ab RAST class [Presence] in Serum,-1
LOINC,25609-9,Cochineal extract IgE Ab [Units/volume] in Serum,10690
LOINC,14286-9,Carnitine free (C0) [Moles/volume] in Serum or Plasma,2113
LOINC,6349-5,Chlamydia trachomatis [Presence] in Specimen by Organism specific culture,4319
LOINC,6919-5,Chlamydia trachomatis IgG Ab [Titer] in Serum by Immunofluorescence,4394
LOINC,6920-3,Chlamydia trachomatis IgM Ab [Titer] in Serum by Immunofluorescence,4463
LOINC,15659-6,Deprecated Cottonwood IgE Ab RAST class [Presence] in Serum,-1
LOINC,15663-8,Deprecated Crab IgE Ab RAST class [Presence] in Serum,-1
LOINC,15690-1,Deprecated Whole Egg IgE Ab RAST class [Presence] in Serum,-1
LOINC,15724-8,Deprecated Garlic IgE Ab RAST class [Presence] in Serum,-1
LOINC,15728-9,Deprecated Ginger IgE Ab RAST class [Presence] in Serum,-1
LOINC,15732-1,Deprecated Goat milk IgE Ab RAST class [Presence] in Serum,-1
LOINC,15735-4,Deprecated Grape IgE Ab RAST class [Presence] in Serum,-1
LOINC,15736-2,Deprecated Grapefruit IgE Ab RAST class [Presence] in Serum,-1
LOINC,15564-8,Deprecated Green Bean IgE Ab RAST class [Presence] in Serum,-1
LOINC,15769-3,Deprecated Setomelanomma rostrata IgE Ab RAST class [Presence] in Serum,-1
LOINC,14288-5,Carnitine [Moles/volume] in Serum or Plasma,2117
LOINC,14287-7,Carnitine [Moles/volume] in Urine,15051
LOINC,26606-4,Carnosine [Moles/volume] in Serum or Plasma,7852
LOINC,26591-8,Carnosine [Moles/volume] in Cerebral spinal fluid,16025
LOINC,2053-7,Carotene [Mass/volume] in Serum or Plasma,5017
LOINC,42146-1,US.doppler Carotid arteries,5681
LOINC,34645-2,Chlamydophila pneumoniae DNA [Presence] in Specimen by NAA with probe detection,969
LOINC,21613-5,Chlamydia trachomatis DNA [Presence] in Specimen by NAA with probe detection,341
LOINC,43304-5,Chlamydia trachomatis rRNA [Presence] in Specimen by NAA with probe detection,324
LOINC,15766-9,Deprecated Hazelnut IgE Ab RAST class [Presence] in Serum,-1
LOINC,15743-8,Deprecated Johnson grass IgE Ab RAST class [Presence] in Serum,-1
LOINC,15813-9,Deprecated Lentils IgE Ab RAST class [Presence] in Serum,-1
LOINC,15821-2,Deprecated Lobster IgE Ab RAST class [Presence] in Serum,-1
LOINC,15709-9,Deprecated Meadow Fescue IgE Ab RAST class [Presence] in Serum,-1
LOINC,15615-8,Deprecated Mountain Juniper IgE Ab RAST class [Presence] in Serum,-1
LOINC,15862-6,Deprecated Mucor racemosus IgE Ab RAST class [Presence] in Serum,-1
LOINC,15870-9,Deprecated Mustard IgE Ab RAST class [Presence] in Serum,-1
LOINC,15885-7,Deprecated Oat IgE Ab RAST class [Presence] in Serum,-1
LOINC,15894-9,Deprecated Orange IgE Ab RAST class [Presence] in Serum,-1
LOINC,15899-8,Deprecated Oyster IgE Ab RAST class [Presence] in Serum,-1
LOINC,15924-4,Deprecated Penicillium notatum IgE Ab RAST class [Presence] in Serum,-1
LOINC,8900-3,Pulse intensity Carotid artery - left by palpation,-1
LOINC,8901-1,Pulse intensity Carotid artery - right by palpation,-1
LOINC,6061-6,Carrot IgE Ab [Units/volume] in Serum,2396
LOINC,53829-8,Casein IgG Ab [Mass/volume] in Serum,5385
LOINC,6718-1,Cashew nut IgE Ab [Units/volume] in Serum,1535
LOINC,3455-3,Chloramphenicol [Mass/volume] in Serum or Plasma,19340
LOINC,3457-9,chlordiazePOXIDE [Mass/volume] in Serum or Plasma,6430
LOINC,9842-6,Casts [#/area] in Urine sediment by Microscopy low power field,1242
LOINC,24124-0,Casts [Presence] in Urine sediment by Light microscopy,1520
LOINC,9742-8,Chloride [Moles/time] in 24 hour Stool,14994
LOINC,2069-3,Chloride [Moles/volume] in Blood,315
LOINC,2079-2,Chloride [Moles/time] in 24 hour Urine,3148
LOINC,3471-0,chlorproMAZINE [Mass/volume] in Serum or Plasma,4791
LOINC,3474-4,chlorproPAMIDE [Mass/volume] in Serum or Plasma,3428
LOINC,6073-1,Chocolate IgE Ab [Units/volume] in Serum,2909
LOINC,2056-0,Catecholamines [Mass/volume] in Plasma,5988
LOINC,19128-8,Bacteria identified in Catheter tip by Culture,1197
LOINC,9830-1,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,86
LOINC,24575-3,RF Biliary ducts and Gallbladder Views W contrast percutaneous transhepatic,-1
LOINC,15913-7,Deprecated Pea IgE Ab RAST class [Presence] in Serum,-1
LOINC,15918-6,Deprecated Pear IgE Ab RAST class [Presence] in Serum,-1
LOINC,15774-3,Deprecated Pecan or Hickory Tree IgE Ab RAST class [Presence] in Serum,-1
LOINC,15943-4,Deprecated Pine Nut IgE Ab RAST class [Presence] in Serum,-1
LOINC,15948-3,Deprecated Pineapple IgE Ab RAST class [Presence] in Serum,-1
LOINC,15949-1,Deprecated Pistachio IgE Ab RAST class [Presence] in Serum,-1
LOINC,15956-6,Deprecated Pork IgE Ab RAST class [Presence] in Serum,-1
LOINC,15957-4,Deprecated Potato IgE Ab RAST class [Presence] in Serum,-1
LOINC,15983-0,Deprecated Raspberry IgE Ab RAST class [Presence] in Serum,-1
LOINC,15994-7,Deprecated Rice IgE Ab RAST class [Presence] in Serum,-1
LOINC,15693-5,Deprecated Rough Marsh Elder IgE Ab RAST class [Presence] in Serum,-1
LOINC,26106-5,XR Clavicle - bilateral Views,-1
LOINC,38256-4,Cells Counted Total [#] in Body fluid,1248
LOINC,33193-4,Viable cells/100 cells in Blood,5359
LOINC,38995-7,Mixed cellular casts [#/area] in Urine sediment by Microscopy low power field,5777
LOINC,60985-9,Central venous pressure (CVP),2153
LOINC,53982-5,Centromere protein B Ab [Units/volume] in Serum,1998
LOINC,61017-0,Cerebral perfusion pressure,-1
LOINC,2064-4,Ceruloplasmin [Mass/volume] in Serum or Plasma,872
LOINC,5767-9,Appearance of Urine,82
LOINC,2339-0,Glucose [Mass/volume] in Blood,52
LOINC,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,63
LOINC,6068-1,Cheese mold type IgE Ab [Units/volume] in Serum,7099
LOINC,30519-3,Chenodeoxycholate [Moles/volume] in Serum or Plasma,3472
LOINC,8279-2,Chest Circumference at nipple line,-1
LOINC,13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,76
LOINC,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,61
LOINC,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,66
LOINC,15958-2,Deprecated Sweet potato IgE Ab RAST class [Presence] in Serum,-1
LOINC,16045-7,Deprecated Swordfish IgE Ab RAST class [Presence] in Serum,-1
LOINC,16078-8,Deprecated California Walnut Pollen IgE Ab RAST class [Presence] in Serum,-1
LOINC,15644-8,Deprecated Clove IgE Ab RAST class [Presence] in Serum,-1
LOINC,11280-5,Cabot rings [Presence] in Blood by Light microscopy,11461
LOINC,35554-5,Chocolate IgG Ab [Mass/volume] in Serum,8096
LOINC,21129-2,Cadmium [Mass/volume] in Serum or Plasma,-1
LOINC,5609-3,Cadmium [Mass/volume] in Blood,2739
LOINC,3422-3,Caffeine [Mass/volume] in Serum or Plasma,5617
LOINC,36298-8,XR Chest 3 Views,-1
SNOMED CT,55587003,Chest X-ray,-1
LOINC,30631-6,RF Chest Views,-1
LOINC,34472-1,Cholesterol crystals [Presence] in Bile fluid by Light microscopy,10234
LOINC,12183-0,Cholesterol [Mass/volume] in Body fluid,784
LOINC,9618-0,Cholesterol [Mass/volume] in Pleural fluid,3864
LOINC,1992-7,Calcitonin [Mass/volume] in Serum or Plasma,2535
LOINC,49765-1,Calcium [Mass/volume] in Blood,1109
LOINC,30518-5,Cholate [Moles/volume] in Serum or Plasma,3455
LOINC,2098-2,Cholinesterase [Enzymatic activity/volume] in Serum or Plasma,6728
LOINC,17862-4,Calcium [Mass/volume] in Urine,1130
LOINC,18185-9,Gestational age,1105
LOINC,49140-7,California encephalitis virus IgG Ab [Titer] in Serum by Immunofluorescence,19759
LOINC,49138-1,California encephalitis virus IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,17934
LOINC,49141-5,California encephalitis virus IgM Ab [Titer] in Serum by Immunofluorescence,17189
LOINC,9540-6,La Crosse virus IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,7671
LOINC,9539-8,La Crosse virus IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,7645
LOINC,38445-3,Calprotectin [Mass/mass] in Stool,1024
LOINC,2099-0,Cholinesterase [Enzymatic activity/volume] in Red Blood Cells,8547
LOINC,9811-1,Chromogranin A [Mass/volume] in Serum or Plasma,1955
LOINC,5622-6,Chromium [Mass/volume] in Serum or Plasma,2532
LOINC,5619-2,Chromium [Mass/volume] in Blood,8539
LOINC,5623-4,Chromium [Mass/volume] in Urine,10975
LOINC,30746-2,Portable XR Chest Views,-1
LOINC,6331-3,Campylobacter sp identified in Stool by Organism specific culture,2062
LOINC,82196-7,Campylobacter coli+jejuni+upsaliensis DNA [Presence] in Stool by NAA with non-probe detection,1269
LOINC,24108-3,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,883
LOINC,56151-4,Candida albicans IgA Ab [Units/volume] in Serum,4456
LOINC,56150-6,Candida albicans IgM Ab [Units/volume] in Serum,4455
LOINC,6059-0,Candida albicans IgE Ab [Units/volume] in Serum,3031
LOINC,3425-6,Cannabinoids [Presence] in Serum or Plasma,7389
LOINC,3427-2,Cannabinoids [Presence] in Urine,587
LOINC,36320-0,XR Chest 4 Views,-1
LOINC,29770-5,Karyotype [Identifier] in Blood or Tissue Nominal,4280
LOINC,35129-6,Karyotype [Identifier] in Specimen Nominal,4859
SNOMED CT,82423001,Chronic pain (finding),-1
LOINC,15038-3,Citrate [Moles/volume] in Serum or Plasma,16080
LOINC,777-3,Platelets [#/volume] in Blood by Automated count,20
LOINC,2128-7,Citrate [Mass/volume] in Urine,6639
LOINC,2127-9,Citrate [Mass/volume] in Serum or Plasma,13677
LOINC,20640-9,Citrulline [Moles/volume] in Serum or Plasma,2841
LOINC,22654-8,Citrulline [Moles/volume] in Cerebral spinal fluid,8679
LOINC,24634-8,Portable XR Chest Views W inspiration and expiration,-1
LOINC,32852-6,carBAMazepine free/carBAMazepine.total in Serum or Plasma,7584
LOINC,34720-3,Cytomegalovirus DNA [Units/volume] (viral load) in Specimen by NAA with probe detection,4521
LOINC,33006-8,Cytomegalovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,2285
LOINC,5126-8,Cytomegalovirus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,1480
LOINC,44212-9,XR Cervical spine GE 4 Views,-1
LOINC,24940-9,XR Cervical spine Single view,-1
LOINC,39907-1,NM Bone marrow Multiple area Views,-1
LOINC,39826-3,NM Whole body Bone marrow Views,-1
LOINC,52984-2,Cytomegalovirus IgG Ab avidity [Ratio] in Serum or Plasma by Immunoassay,5237
LOINC,39627-5,NM Bone Limited Views,-1
LOINC,30197-8,Fatty acids.very long chain C26:0 (Hexacosanoate) [Moles/volume] in Serum or Plasma,3659
LOINC,4485-9,Complement C3 [Mass/volume] in Serum or Plasma,448
LOINC,6801-5,Complement C3 [Mass/volume] in Body fluid,5603
LOINC,4999-9,Cytomegalovirus DNA [Presence] in Urine by NAA with probe detection,-1
LOINC,83065-3,Cytomegalovirus DNA [Presence] in Saliva (oral fluid) by NAA with probe detection,-1
LOINC,24946-6,XR Cervical spine Views,-1
LOINC,39904-8,NM Bone Multiple area Views,-1
LOINC,25031-6,NM Bone Views,-1
LOINC,54410-6,Direct antiglobulin test.complement C3 specific reagent [Presence] on Red Blood Cells,2521
LOINC,13086-4,C3 nephritic factor [Mass/volume] in Serum or Plasma,12815
LOINC,9610-7,Hepatitis C virus c33c Ab [Presence] in Serum by Immunoblot,10517
LOINC,4488-3,Complement C3a [Mass/volume] in Serum or Plasma,3320
LOINC,4498-2,Complement C4 [Mass/volume] in Serum or Plasma,439
LOINC,11211-0,"Carbon dioxide, total [Moles/volume] in Body fluid",3827
LOINC,94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,65
SNOMED CT,415360003,Severe acute respiratory syndrome coronavirus,-1
LOINC,39818-0,NM Whole body Bone Views,-1
LOINC,6908-8,Complement C4 [Mass/volume] in Body fluid,5605
LOINC,4501-3,Complement C4a [Mass/volume] in Plasma,5211
LOINC,4505-4,Complement C5 [Mass/volume] in Serum or Plasma,5229
LOINC,4507-0,Complement C6 [Mass/volume] in Serum or Plasma,12495
LOINC,4508-8,Complement C7 [Mass/volume] in Serum or Plasma,12320
LOINC,95420-6,Whether the patient was admitted to intensive care unit (ICU) for condition of interest,-1
LOINC,94562-6,SARS-CoV-2 (COVID-19) IgA Ab [Presence] in Serum or Plasma by Immunoassay,-1
LOINC,94507-1,"SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",793
LOINC,94508-9,"SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",-1
LOINC,94309-2,SARS-CoV-2 (COVID-19) RNA [Presence] in Specimen by NAA with probe detection,2296
LOINC,95419-8,Whether the patient has symptoms related to condition of interest,-1
LOINC,42164-4,XR Cervical spine Views and Oblique,-1
LOINC,43518-0,XR Bones Survey Views,10623
LOINC,6317-2,Bordetella sp identified in Specimen by Organism specific culture,2867
LOINC,42329-3,Bordetella pertussis IgM Ab [Units/volume] in Serum by Immunoassay,5900
LOINC,550-4,Bordetella pertussis Ag [Presence] in Specimen by Immunofluorescence,10283
LOINC,4509-6,Complement C8 [Mass/volume] in Serum or Plasma,5202
LOINC,4510-4,Complement C9 [Mass/volume] in Serum or Plasma,12238
LOINC,10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,602
LOINC,11210-2,Cancer Ag 125 [Units/volume] in Body fluid,5199
LOINC,2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,170
LOINC,41875-6,Bordetella pertussis and Bordetella parapertussis DNA panel - Specimen by NAA with probe detection,4406
LOINC,549-6,Bordetella pertussis [Presence] in Specimen by Organism specific culture,6930
LOINC,23826-1,Bordetella pertussis DNA [Presence] in Specimen by NAA with probe detection,960
LOINC,6049-1,Botrytis cinerea IgE Ab [Units/volume] in Serum,9844
SNOMED CT,18101008,Bowel sounds hyperactive (finding),-1
LOINC,8898-9,Pulse intensity Brachial artery - left by palpation,-1
LOINC,8899-7,Pulse intensity Brachial artery - right by palpation,-1
SNOMED CT,406213009,Breastfeeding performance (observable entity),-1
LOINC,6875-9,Cancer Ag 15-3 [Units/volume] in Serum or Plasma,988
LOINC,26924-1,Cancer Ag 19-9 [Units/volume] in Body fluid,6458
LOINC,17842-6,Cancer Ag 27-29 [Units/volume] in Serum or Plasma,1137
LOINC,13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma,470
LOINC,15049-0,Creatine kinase.MM/Creatine kinase.total in Serum or Plasma by Electrophoresis,3285
LOINC,71942-7,"Car, Relax, Alone, Forget, Friends, Trouble Screening Test [CRAFFT]",-1
LOINC,77924-9,Enterobacteriaceae.carbapenem resistant [Presence] in Anorectal or stool specimen by Organism specific culture,18813
LOINC,47401-5,CV2 IgG Ab [Presence] in Serum by Immunoblot,9746
LOINC,94706-9,CV2 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,-1
LOINC,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,128
LOINC,62460-1,Candida sp DNA [Presence] in Vaginal fluid by NAA with probe detection,1656
LOINC,74822-8,Clostridioides difficile toxin B tcdB gene [Presence] in Stool by NAA with probe detection,4577
LOINC,562-9,Clostridioides difficile [Presence] in Stool by Organism specific culture,5060
LOINC,69563-5,Candida glabrata DNA [Presence] in Vaginal fluid by NAA with probe detection,1367
LOINC,72495-5,Candida parapsilosis DNA [Presence] in Vaginal fluid by NAA with probe detection,3191
LOINC,82306-2,Chlamydia trachomatis rRNA [Presence] in Throat by NAA with probe detection,9466
SNOMED CT,226406001,Breast milk intake (observable entity),-1
LOINC,49510-1,MG Breast duct - left Single view W contrast intra duct,-1
LOINC,38096-4,MG Breast duct - left Views W contrast intra duct,-1
LOINC,5776-0,Calcium sulfate crystals [Presence] in Urine sediment by Light microscopy,9000
LOINC,9321-1,Calcium/Creatinine [Mass Ratio] in Urine,3321
LOINC,1961-2,Bicarbonate [Moles/volume] in Capillary blood,3013
LOINC,42908-4,Hematocrit [Volume Fraction] of Capillary blood,16383
LOINC,2745-8,pH of Capillary blood,860
LOINC,39790-1,Potassium [Moles/volume] in Capillary blood,3536
LOINC,2020-6,Carbon dioxide [Partial pressure] in Capillary blood,857
LOINC,2704-5,Oxygen [Partial pressure] in Capillary blood,849
LOINC,79103-8,CT Abdomen W contrast IV,7041
LOINC,36267-3,CT Abdomen WO and W contrast IV,-1
LOINC,6355-2,Chlamydia trachomatis Ag [Presence] in Specimen by Immunofluorescence,12312
LOINC,72391-6,Candida tropicalis DNA [Presence] in Vaginal fluid by NAA with probe detection,2893
LOINC,39145-8,MG Breast duct - left Views W contrast intra multiple ducts,-1
LOINC,49509-3,MG Breast duct - right Single view W contrast intra duct,-1
LOINC,46125-1,Cardiolipin Ab [Presence] in Serum by Immunoassay,5250
LOINC,26580-1,Carnosine/Creatinine [Molar ratio] in Urine,18474
LOINC,15048-2,Creatine kinase.BB/Creatine kinase.total in Serum or Plasma by Electrophoresis,3030
LOINC,39147-4,MG Breast duct - right Views W contrast intra multiple ducts,-1
LOINC,13333-0,CD3+CD25+ cells/100 cells in Blood,7391
LOINC,606-4,Bacteria identified in Cerebral spinal fluid by Culture,685
LOINC,13439-5,Protein Fractions [Interpretation] in Cerebral spinal fluid by Electrophoresis,9963
LOINC,25045-6,CT Unspecified body region,-1
LOINC,6912-0,Chlamydophila pneumoniae IgA Ab [Titer] in Serum by Immunofluorescence,7102
LOINC,6913-8,Chlamydophila pneumoniae IgG Ab [Titer] in Serum by Immunofluorescence,4174
LOINC,6914-6,Chlamydophila pneumoniae IgM Ab [Titer] in Serum by Immunofluorescence,4131
LOINC,6915-3,Chlamydophila psittaci IgA Ab [Titer] in Serum by Immunofluorescence,9053
LOINC,6916-1,Chlamydophila psittaci IgG Ab [Titer] in Serum by Immunofluorescence,4342
LOINC,6917-9,Chlamydophila psittaci IgM Ab [Titer] in Serum by Immunofluorescence,4339
LOINC,6918-7,Chlamydia trachomatis IgA Ab [Titer] in Serum by Immunofluorescence,7342
LOINC,69268-1,MG Breast duct Single view W contrast intra duct,-1
LOINC,9728-7,CD3-CD16+CD56+ (Natural killer) cells [#/volume] in Blood,2156
LOINC,13336-3,CD4+CD45RA+ cells/100 cells in Blood,10800
LOINC,54218-3,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood,726
LOINC,45076-7,Chlamydia trachomatis+Neisseria gonorrhoeae rRNA [Presence] in Specimen by Probe,8355
SNOMED CT,288987002,Ability to latch on to breast for feeding (observable entity),-1
LOINC,6287-7,Baker's yeast IgE Ab [Units/volume] in Serum,2709
LOINC,18487-9,Broad casts [#/area] in Urine sediment by Microscopy low power field,9723
LOINC,31999-6,Broad casts [Presence] in Urine sediment by Light microscopy,11004
LOINC,41994-5,CD4+CD45RO+ cells/100 cells in Blood,2820
LOINC,73904-5,CD3-CD57+ cells/100 lymphocytes in Blood by Flow cytometry (FC),10292
LOINC,73898-9,CD8-CD57+ cells/100 lymphocytes in Blood by Flow cytometry (FC),11337
LOINC,61122-8,CD8-CD57+ cells [#/volume] in Blood,6114
LOINC,2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,459
